date_ref,district_ref,total_cases,total_cured,total_deaths,increase_cases,percent_increase_cases
16,20,43080,42833,541,0,0.0
16,21,22404,22294,228,0,0.0
16,22,36018,36047,447,0,0.0
16,23,93161,93271,730,0,0.0
16,24,32324,32165,318,0,0.0
16,25,36727,36579,315,0,0.0
16,26,23382,23235,284,0,0.0
16,27,20262,20187,293,0,0.0
16,28,30356,30068,634,0,0.0
16,29,39097,39028,579,0,0.0
16,30,31771,31488,506,0,0.0
16,31,52775,52460,612,0,0.0
16,32,51184,50964,556,0,0.0
16,33,50757,50812,526,0,0.0
16,34,31901,31688,380,0,0.0
16,35,43654,43481,540,0,0.0
16,36,50729,50514,503,0,0.0
16,37,54662,54494,465,1,0.0018
16,38,42260,42126,451,0,0.0
16,39,39919,39743,424,0,0.0
16,40,79021,79071,553,0,0.0
16,41,31707,31745,240,0,0.0
16,42,83431,83211,580,0,0.0
16,43,35681,35552,325,1,0.0028
16,44,49357,48912,577,0,0.0
16,45,39160,39014,287,0,0.0
16,46,50730,50569,601,0,0.0
16,47,48400,48304,409,0,0.0
16,48,83787,83892,664,0,0.0
16,49,46465,46345,440,0,0.0
16,50,64769,64579,525,1,0.0015
16,51,40589,40684,428,0,0.0
16,52,47869,47952,448,0,0.0
16,53,30699,30659,280,0,0.0
16,54,42298,42183,385,0,0.0
16,55,51357,51421,383,0,0.0
16,56,46826,46555,598,0,0.0
16,57,175451,175403,1459,3,0.0017
16,58,99923,99674,812,1,0.001
16,59,45856,45440,556,0,0.0
16,60,64672,64101,774,0,0.0
16,61,41707,41251,569,0,0.0
16,62,44629,44418,626,0,0.0
16,63,12720,12590,183,0,0.0
16,64,107957,107579,1026,1,0.0009
16,65,48923,48663,427,0,0.0
16,66,56760,56651,507,0,0.0
16,67,51593,51315,474,0,0.0
16,68,46130,46113,525,0,0.0
16,69,63820,63679,499,0,0.0
16,70,61533,61356,605,0,0.0
16,71,93400,93005,826,1,0.0011
16,72,33439,33280,481,0,0.0
16,73,92373,92070,950,0,0.0
16,74,101570,101188,1334,0,0.0
16,75,60431,60446,596,0,0.0
16,76,83078,83322,704,0,0.0
16,77,134890,134612,1494,0,0.0
17,1,620054,624824,3989,1,0.0002
17,2,44697,44585,468,0,0.0
17,3,45870,46211,243,0,0.0
17,4,73688,73671,582,0,0.0
17,5,46684,46503,429,0,0.0
17,6,31510,31445,293,0,0.0
17,7,52961,53098,437,0,0.0
17,8,60965,60954,601,0,0.0
17,9,44497,44425,351,0,0.0
17,10,93481,94237,411,0,0.0
17,11,73763,74536,305,0,0.0
17,12,50287,50654,282,0,0.0
17,13,21453,21373,236,0,0.0
17,14,85626,86549,796,0,0.0
17,15,23162,23071,250,0,0.0
17,16,39553,39397,438,1,0.0025
17,17,33232,33127,292,0,0.0
17,18,21464,21465,246,0,0.0
17,19,31736,31558,385,0,0.0
17,20,43080,42836,541,0,0.0
17,21,22404,22296,228,0,0.0
17,22,36018,36049,447,0,0.0
17,23,93161,93271,730,0,0.0
17,24,32325,32165,318,1,0.0031
17,25,36727,36579,315,0,0.0
17,26,23382,23236,284,0,0.0
17,27,20262,20187,293,0,0.0
17,28,30356,30068,634,0,0.0
17,29,39097,39028,579,0,0.0
17,30,31771,31488,506,0,0.0
17,31,52775,52460,612,0,0.0
17,32,51184,50964,556,0,0.0
17,33,50757,50812,526,0,0.0
17,34,31901,31688,380,0,0.0
17,35,43654,43481,540,0,0.0
17,36,50729,50514,503,0,0.0
17,37,54662,54494,465,0,0.0
17,38,42260,42126,451,0,0.0
17,39,39919,39743,424,0,0.0
17,40,79021,79071,553,0,0.0
17,41,31707,31745,240,0,0.0
17,42,83431,83211,580,0,0.0
17,43,35681,35552,325,0,0.0
17,44,49357,48913,577,0,0.0
17,45,39160,39014,287,0,0.0
17,46,50730,50569,601,0,0.0
17,47,48400,48304,409,0,0.0
17,48,83788,83892,664,1,0.0012
17,49,46465,46345,440,0,0.0
17,50,64769,64579,525,0,0.0
17,51,40589,40684,428,0,0.0
17,52,47869,47953,448,0,0.0
17,53,30699,30659,280,0,0.0
17,54,42298,42183,385,0,0.0
17,55,51358,51421,384,1,0.0019
17,56,46827,46555,598,1,0.0021
17,57,175451,175403,1459,0,0.0
17,58,99923,99676,812,0,0.0
17,59,45857,45440,556,1,0.0022
17,60,64673,64101,774,1,0.0015
17,61,41707,41253,569,0,0.0
17,62,44629,44418,626,0,0.0
17,63,12720,12590,183,0,0.0
17,64,107957,107580,1026,0,0.0
17,65,48923,48663,427,0,0.0
17,66,56760,56652,507,0,0.0
17,67,51594,51315,474,1,0.0019
17,68,46131,46115,525,1,0.0022
17,69,63820,63679,499,0,0.0
17,70,61533,61358,605,0,0.0
17,71,93400,93005,826,0,0.0
17,72,33439,33280,481,0,0.0
17,73,92373,92071,950,0,0.0
17,74,101571,101189,1334,1,0.001
17,75,60431,60446,596,0,0.0
17,76,83079,83322,704,1,0.0012
17,77,134890,134613,1494,0,0.0
18,1,620057,624828,3989,3,0.0005
18,2,44697,44585,468,0,0.0
18,3,45870,46211,243,0,0.0
18,4,73688,73671,582,0,0.0
18,5,46684,46503,429,0,0.0
18,6,31510,31445,293,0,0.0
18,7,52962,53098,437,1,0.0019
18,8,60966,60954,601,1,0.0016
18,9,44498,44425,351,1,0.0022
18,10,93481,94237,411,0,0.0
18,11,73763,74536,305,0,0.0
18,12,50287,50654,282,0,0.0
18,13,21453,21373,236,0,0.0
18,14,85627,86549,796,1,0.0012
18,15,23162,23071,250,0,0.0
18,16,39553,39397,438,0,0.0
18,17,33232,33127,292,0,0.0
18,18,21465,21465,246,1,0.0047
18,19,31736,31558,385,0,0.0
18,20,43080,42836,541,0,0.0
18,21,22404,22296,228,0,0.0
18,22,36018,36049,447,0,0.0
18,23,93161,93272,730,0,0.0
18,24,32325,32166,318,0,0.0
18,25,36728,36580,315,1,0.0027
18,26,23382,23236,284,0,0.0
18,27,20262,20187,293,0,0.0
18,28,30356,30068,634,0,0.0
18,29,39097,39030,579,0,0.0
18,30,31771,31488,506,0,0.0
18,31,52775,52460,612,0,0.0
18,32,51184,50965,556,0,0.0
18,33,50757,50812,526,0,0.0
18,34,31901,31688,380,0,0.0
18,35,43654,43481,540,0,0.0
18,36,50729,50515,503,0,0.0
18,37,54662,54494,465,0,0.0
18,38,42260,42126,451,0,0.0
18,39,39919,39743,424,0,0.0
18,40,79021,79071,553,0,0.0
18,41,31707,31745,240,0,0.0
18,42,83431,83211,580,0,0.0
18,43,35681,35553,325,0,0.0
18,44,49357,48913,577,0,0.0
18,45,39160,39015,287,0,0.0
18,46,50730,50569,601,0,0.0
18,47,48400,48304,409,0,0.0
18,48,83788,83892,664,0,0.0
18,49,46465,46345,440,0,0.0
18,50,64769,64579,525,0,0.0
18,51,40589,40686,428,0,0.0
18,52,47869,47953,448,0,0.0
18,53,30699,30660,280,0,0.0
18,54,42298,42183,385,0,0.0
18,55,51358,51421,384,0,0.0
18,56,46827,46556,598,0,0.0
18,57,175451,175406,1459,0,0.0
18,58,99923,99677,812,0,0.0
