station_id,station_code,district_code
1,004e0965-84f6-4aa1-92cb-7242c8ae394a,CZ0711
2,0980ebfa-a1f3-4b2f-8ae3-a946d3b77cc8,CZ0715
3,09eed895-008f-4a50-839d-8ba8dbfe2850,CZ0714
4,0c53a5a0-70c8-489f-8fc5-3d98a41bcb3e,CZ0805
5,0c7e626d-b0e6-413f-bd48-9bfce9b5487e,CZ0534
6,1185422c-106a-4606-8828-2e53d31860e0,CZ0100
7,153408df-22b6-4a99-b070-a0b24b71e841,CZ0642
8,17f9de03-18a0-48e8-91dd-c9b925b2f66a,CZ0724
9,19a6168f-de5b-41d1-80f8-1ca39e836f72,CZ0642
10,1ddc573d-b6c1-4585-9729-999f36a0a6f1,CZ0806
11,22217d4b-2980-48a4-b4c8-f716f04328db,CZ0100
12,22cf86f9-1934-4514-b9cb-c3f6e618fc08,CZ0100
13,24e4792b-ba40-4470-a5bb-8fc4931ea176,CZ0422
14,25a7b1a6-2cdf-42cd-b86c-ef969f834104,CZ0714
15,262721a0-5551-41d6-bc46-06d5aa9d18a8,CZ0806
16,26878d6a-abc6-4f94-8607-a9b1ea7b36d5,CZ0644
17,2a5e483a-4817-489c-9227-49fc9b51b2c8,CZ0712
18,2b996921-af10-4803-a265-d936555d21de,CZ0712
19,2d133449-b6ac-4b5e-b2e9-428b893345ac,CZ0100
20,313285e5-df33-485b-aad2-1f121d45aba8,CZ0316
21,349c5c91-fcb3-488a-8cb4-d8e6dff4a842,CZ0513
22,35bc3f1c-b301-44cd-8b69-7073ea58d968,CZ0806
23,3719077c-ec1f-4497-9ac1-93e447840e84,CZ0100
24,371ee4e8-da22-446f-a9c3-f897c1a3fded,CZ0413
25,39036e3e-62e4-4ea3-8a5f-92bbc64acfba,CZ0806
26,3aff95e6-8ae8-445c-9cdf-dfdb187f7f2e,CZ0803
27,3c49bf4d-deca-4a77-8d13-0db97a1afe69,CZ0100
28,3f0f3044-990c-4143-a85e-9fc16da5bb1b,CZ0632
29,3ffb874d-db62-4e50-8c75-d819d283d160,CZ0803
30,4068d898-89c6-4997-a3ec-fff6b593c80a,CZ0521
31,415119fc-390b-4da4-9eae-ae6a3df29070,CZ0323
32,41c51947-5951-432c-9099-bf317756b09d,CZ0323
