station_id,station_code,district_code
93,c2ca4cb4-2c8d-4463-9b85-88dff5eb4ba5,CZ0100
94,c2ec6521-6a37-44c7-a661-1370adbac9c5,CZ0803
95,cc785573-e41f-43bb-91ea-9a1893f6b9d2,CZ0634
96,cd252dde-b78e-4c74-88e5-e95d894968ab,CZ0322
97,cf8151d4-6ceb-436a-bdae-7c48a30e4251,CZ0712
98,cfafd5d9-9b97-40bf-9de0-52a987281847,CZ0100
99,d596756d-6ad2-4ca0-a148-d8f82aac94c6,CZ0641
100,d8d9fa89-d7e1-41e6-b5a8-472fb48bcc7b,CZ0316
101,d98e57cf-fc29-40fb-a432-7631f17956ea,CZ0803
102,da5422b1-8002-456c-aa95-9a26a5e0e622,CZ0644
103,df0f6fbc-d6d8-4cff-aae5-ac8173e14819,CZ0722
104,df82745a-539b-4c91-811f-26ebd28e5c8b,CZ0521
105,df8ee09d-46ce-4102-a42a-12c1269a4e83,CZ0642
106,e016ea1d-dd0e-4821-8bd7-4e077d7fdf43,CZ0100
107,e1279737-8cfb-4197-ad38-3def6a9a17e0,CZ0642
108,e65464ae-37e3-4890-a1b8-1336fce33c9a,CZ0641
109,e803e7d4-3c1c-462e-8025-8f8d33232fac,CZ0803
110,e8de7565-5dad-46a9-b7c1-7d7d7d73263f,CZ0523
111,e9cfbc2e-87cd-419a-aece-a4d7a1873d43,CZ0316
112,f1434a8c-a1f4-4af4-b4eb-ea7a70011535,CZ0802
113,f191d2d1-0716-4a9b-a563-2a27c8925b87,CZ0412
114,f1b3f2dc-c4d1-4f50-b79a-a48ed0c393d6,CZ0804
115,f1daab10-1271-4647-91d2-783b1a6c5fab,CZ0100
116,f2cc8426-9fc1-43b9-b350-3931ae756ddc,CZ0632
117,f48613c8-f616-460b-bbb3-096e07223c73,CZ0411
118,f6a9ae5b-0d93-4bd4-b630-b3667a9c9059,CZ0323
119,f923b437-fab1-4e93-b5b5-b8d1ca541272,CZ0100
120,f9a99680-5def-4626-8249-d53288e966ae,CZ0411
121,fc43817f-7eb9-49db-a93d-c37b9808cd43,CZ0100
122,ff1d41dd-18a2-45ed-bfee-8b2ff0022633,CZ0209
